0	4	31	96	2	66	16	64	47	25	73	2	4	42	64	12	18	0	5	5	80	34	12	1	0	0	12	16	0	2	0	8	25	0	0	0	0	10	0	0	15	0	0	4	0	5	0	0	40	0	2	0	0	0	2	2	4	0	1	0	7	0	0	17	16	9	3	0	0	9	13	3	0	0	0	0	1	1	0	6	0	13	0	0	0	19	0	5	0	2	0	0	0	2	1
4	0	1	1	0	0	2	0	1	0	0	2	0	1	2	0	0	0	0	0	0	1	24	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	4	0	14	0	0	0	0	0	3	0	0	13	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	0	0	0	1
31	1	0	5	43	4	63	4	0	10	12	1	0	5	7	61	0	27	9	0	2	43	0	0	1	0	64	1	0	148	66	2	32	25	44	0	0	0	3	4	5	2	0	0	0	0	0	5	0	1	0	2	0	0	0	3	20	2	0	0	30	0	0	0	2	1	62	23	63	1	3	0	19	0	0	9	0	11	7	0	0	12	0	0	0	17	0	1	0	1	0	1	1	116	5
96	1	5	0	8	69	18	23	15	11	26	1	5	5	51	1	12	0	1	25	12	22	0	1	0	0	3	2	3	0	0	1	54	0	0	0	0	0	0	0	5	1	0	2	0	9	0	0	5	0	0	0	0	0	0	11	0	0	13	0	0	0	0	20	12	8	0	0	0	4	30	0	0	1	0	0	0	0	0	28	0	5	0	0	0	5	0	2	0	1	0	0	0	0	1
2	0	43	8	0	13	39	5	1	9	106	0	3	1	26	30	31	1	13	0	0	2	0	0	4	9	40	0	0	0	0	5	6	0	0	2	0	0	2	0	2	15	0	0	0	0	0	0	0	1	11	1	0	15	0	0	1	54	1	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	14	0	4	0	2	0	0	0	0	0	0	0	1	0	22	0	0	0
66	0	4	69	13	0	21	36	12	30	16	0	77	11	23	2	13	0	4	4	4	11	0	2	0	4	21	0	4	0	0	3	41	0	0	0	0	0	0	0	17	0	1	0	0	24	0	0	2	11	4	0	0	5	25	9	0	1	17	0	0	0	0	9	6	1	0	0	0	7	15	1	0	0	0	0	0	0	0	8	0	4	4	0	0	1	0	0	0	0	0	0	3	0	0
16	2	63	18	39	21	0	7	26	46	29	2	2	36	19	21	10	0	19	1	1	17	2	0	4	3	23	0	0	1	0	0	119	0	0	0	0	0	0	0	25	0	0	0	0	6	0	0	0	1	2	0	0	9	4	15	2	2	1	0	0	1	0	0	19	0	0	0	1	4	1	0	0	0	0	0	0	8	0	1	0	7	0	0	0	7	0	0	0	12	0	2	3	1	0
64	0	4	23	5	36	7	0	4	6	2	1	3	3	11	1	0	0	5	2	2	24	0	0	0	5	13	5	7	0	0	10	18	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	2	1	0	0	0	2	8	0	0	0	1	0	0	0	0	2	9	5	0	0	1	5	4	1	0	0	0	0	0	0	0	2	0	5	0	0	0	1	0	2	0	0	0	0	2	0	0
47	1	0	15	1	12	26	4	0	2	5	0	1	39	11	0	1	0	0	0	5	6	1	1	0	0	1	1	0	1	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	14	0	0	0	0	0	0	10	0	0	1	0	1	0	0	3	19	0	0	0	0	2	1	1	0	0	0	0	0	0	1	2	0	3	0	0	0	2	0	3	0	0	0	0	0	0	0
25	0	10	11	9	30	46	6	2	0	18	0	30	14	7	19	1	0	6	1	2	15	1	0	3	3	84	0	17	0	0	0	9	0	0	0	0	0	0	0	30	0	0	0	0	3	0	0	0	2	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	6	0	0	0	29	3	0	0	1	0	0	0	0	0	0	8	0	0
73	0	12	26	106	16	29	2	5	18	0	0	19	34	101	21	35	0	1	29	2	5	0	6	1	1	28	1	0	0	0	1	20	0	0	0	0	4	0	0	9	0	0	1	0	20	0	2	8	0	0	0	0	4	0	2	0	1	1	0	0	0	0	3	5	1	1	0	0	1	9	1	0	0	0	0	0	21	0	3	0	29	0	0	0	2	0	0	0	3	0	0	0	0	0
2	2	1	1	0	0	2	1	0	0	0	0	0	1	3	0	1	27	0	0	0	47	0	0	0	2	2	0	0	0	0	0	3	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	5	3	77	2	3	1	30	19	0	0	0	4	1	8	0	2	0	0	2	0	0	0	2	7	0	0	0	0	1	6	0	0	0	0	25	0	0	20	0	0	0	0	5	0	0	0	1	0	0	0	1	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
42	1	5	5	1	11	36	3	39	14	34	1	0	0	16	2	5	0	0	1	0	9	0	0	0	0	4	0	6	0	0	0	24	0	0	0	0	1	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	4	4	0	0	0	0	2	0	0	1	14	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	32	0	0	0	3	0	1	0	0	0	0	0	0	0
